,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
12/01/1974,-1.673912268,-1.441366766,2.41647309,-1.675155453,0.621991107,-2.787421138,0.04351759,-1.005179352,1.652681572,-0.970431956
03/01/1975,-1.561777779,0.508748763,2.903873334,-2.779264995,1.40416196,-3.797880307,-1.984578204,1.18612524,-0.60233959,-1.205429155
06/01/1975,-1.372493757,-0.681688193,2.283872113,-0.647890463,1.026968317,-2.537389987,-1.026370219,0.071932172,-0.834960888,0.591992614
09/01/1975,-1.107288331,-0.774294089,1.546834701,0.33433938,0.898495384,-1.433893578,-0.385606328,0.416574389,-1.966958086,1.14442916
12/01/1975,-1.062479595,0.148349701,1.659335628,0.260886008,1.315765003,-1.924354165,-1.838005191,0.799428241,-1.168424744,1.528986386
03/01/1976,-1.238099949,0.018476675,1.702218991,0.915083314,0.800307726,-1.959322055,-1.364165045,0.069271954,-1.789214905,1.225903951
06/01/1976,-1.191378619,-0.403813492,1.558532056,1.365570071,0.842287421,-1.484246352,-1.010714974,-0.300055658,-1.598984591,1.257987182
09/01/1976,-1.206991802,-0.704699753,1.337358489,1.404526518,0.107963999,-0.974656535,-1.502358296,0.002730775,-1.271082734,0.969450271
12/01/1976,-1.284389196,-0.182086714,1.320407603,1.400334243,-0.052319414,-0.985036241,-2.145282936,-0.747824467,-0.665777385,1.128261129
03/01/1977,-1.340897628,-0.110483248,1.688940673,1.366549172,-0.074708922,-0.863292765,-0.744823247,-0.388924267,-1.795674479,0.141697349
06/01/1977,-1.287830722,-0.261786864,1.658538371,1.083846233,-0.245936205,-0.390048503,-1.184152353,-0.176996388,-0.919008253,0.267873013
09/01/1977,-1.057794876,-0.127605972,1.359856791,1.237964487,-0.372325021,0.330753054,-1.930321405,-0.781662916,-0.748592989,0.52769256
12/01/1977,-1.026840662,-0.307637457,0.918069604,1.314755666,-0.006066208,0.582777972,-1.601473087,-1.773515194,0.183034694,-0.065921039
03/01/1978,-1.061588064,-0.145082746,1.412726897,0.798010239,0.092998515,0.426632802,-0.678677147,-0.830774145,-0.110374145,-0.959241105
06/01/1978,-1.055237942,0.258795192,1.358403608,1.235537238,0.242788471,0.399200163,-0.770694831,-0.220723777,-0.778436112,0.584596302
09/01/1978,-1.027111807,0.367640192,1.41270542,0.579545226,0.103990313,0.409610901,-1.151364113,-1.224819565,-0.779947798,-1.065156833
12/01/1978,-0.982297971,-0.424936529,0.853710265,1.428441698,-0.340003767,0.588243372,-1.186605386,-1.421859121,0.365462196,0.689360087
03/01/1979,-1.192383433,0.716632234,1.367645879,1.076607184,0.030307484,-0.038613142,0.230504728,-0.485482675,-0.32418579,-0.611086339
06/01/1979,-1.298257339,0.05928466,1.010635096,1.861499905,0.634321176,0.324063608,0.504209003,-0.869788256,0.379184028,-0.528743299
09/01/1979,-1.486861598,0.143667971,1.304377132,0.867350584,0.288970486,-0.194095931,0.966307262,-1.219128555,1.276088111,-2.314272042
12/01/1979,-1.565691524,-0.237919427,0.59329064,1.460600417,0.237762743,-0.105554949,1.515423359,-1.268752839,1.944523299,-0.886816812
03/01/1980,-2.021972826,-0.623242252,0.813323698,0.393725468,-0.185583479,-0.457857199,3.571647159,2.339967358,1.739936072,0.464147518
06/01/1980,-1.812134566,0.356747632,1.361635043,-0.690576442,-0.301344223,-0.407943023,0.976388294,-1.048857915,2.148825276,-1.595529921
09/01/1980,-1.714031635,0.237438095,0.93919,-0.211344506,-0.423795322,0.388611869,1.740910625,0.674159881,0.967893261,0.001110402
12/01/1980,-1.837740506,-0.067767174,0.768677568,-0.705005946,-0.998373086,0.204999499,2.000335361,1.963455433,1.740794364,1.293056153
03/01/1981,-2.111070735,0.11584024,0.741734431,-0.336989079,-1.353326329,0.307031057,2.568031501,2.108603782,0.465008112,0.463926304
06/01/1981,-2.032829794,-0.175574036,0.377335946,-0.36596182,-1.361831706,0.595395416,1.951954017,1.760638657,1.266705644,1.758755265
09/01/1981,-2.116836032,-1.137786929,-0.203117545,-0.09114397,-1.832701109,0.956149536,2.120099115,-0.032518817,1.023149977,0.558814695
12/01/1981,-2.021919198,0.134366836,0.453214542,-1.004947731,-1.342003465,0.509350514,0.515361205,0.464882577,1.403521794,1.378471278
03/01/1982,-2.042274711,-0.30936302,0.18255346,-0.220341009,-1.573447153,0.713009177,0.870681099,1.566539372,0.441845321,1.615324988
06/01/1982,-2.059825161,-0.524807582,0.210122843,-0.104811121,-1.404561929,0.887167468,1.215749763,0.272414821,0.042335947,1.195591587
09/01/1982,-1.735919727,0.092380239,0.418884922,-0.96595347,-1.126832431,1.13939445,0.366123616,0.018661325,0.289902009,0.284360368
12/01/1982,-1.55964613,0.466550738,0.285406996,-1.33141317,-1.000943833,0.959239516,-1.157035853,-0.717597578,0.644269308,0.884671378
03/01/1983,-1.472533357,1.138145756,-0.137331729,-1.36346589,-0.138203205,1.106916304,-0.347404401,1.12082725,-1.71290568,-0.414685986
06/01/1983,-1.338047084,0.843917764,-0.268315009,-0.733342051,0.086568555,1.564932045,0.286971624,0.678362372,-1.857844407,0.480865722
09/01/1983,-1.243299833,0.563514108,-0.612760737,-0.269648508,-0.219555684,1.786356819,0.573635299,0.98068971,-2.566742537,0.605207465
12/01/1983,-1.076803511,0.566310098,-0.96521925,-0.239058758,-0.228274487,1.59965993,-0.628299384,0.544793388,-1.848902612,1.384838206
03/01/1984,-1.14080478,0.424114357,-1.044362523,-0.006548908,-0.249645838,1.646939059,0.20601149,0.479903779,-2.102193592,-0.282426845
06/01/1984,-1.042783402,-0.321540113,-1.140911168,-0.119085221,-1.144081918,1.848680938,0.049818941,0.637552724,-0.974159411,1.00677736
09/01/1984,-1.050206777,0.659986058,-0.980825864,-0.143055767,-0.450605751,1.780348716,-0.577969599,1.222455979,-0.885748584,-0.226929692
12/01/1984,-0.981108733,0.350026363,-0.85210844,0.234464556,-0.96038854,1.864339084,-0.908500921,0.605377195,-0.10542344,0.558127215
03/01/1985,-1.222032818,0.78195704,-0.859086619,-0.066002578,0.04512251,1.090043391,-0.210872911,0.348395408,-0.203552826,-2.143982915
06/01/1985,-1.001261362,0.652921495,-1.0287946,-0.061878925,0.226880522,1.629754038,-1.198773075,0.625660068,0.264584634,-0.3668045
09/01/1985,-0.845884422,0.16427181,-1.409614392,-0.378286837,0.533297373,1.232975701,-1.068721115,-0.358986782,0.262606696,-1.496274664
12/01/1985,-0.851284982,1.079058288,-1.162212854,-0.930835949,1.083185017,0.814057344,-2.261418046,-0.258284234,1.350997293,-1.054871983
03/01/1986,-0.785258898,0.923833513,-1.211198485,-2.27794426,1.631815023,0.631633946,-1.767990272,1.079606976,0.783758211,-1.762697702
06/01/1986,-0.717973479,-0.124837987,-1.309276325,-0.416378109,1.769573325,1.301185922,-1.197424541,-0.374317416,0.283005634,-0.636709506
09/01/1986,-0.741508473,-0.210696507,-1.417589057,-0.5061663,1.914426881,1.479315674,-1.143226827,-0.874893422,0.154095874,-1.488196235
12/01/1986,-0.749080125,0.195398668,-1.372535129,-0.795216702,1.406124986,1.316413263,-1.826373325,-0.580788959,0.559759144,-0.508480816
03/01/1987,-0.734984748,0.5494052,-1.183444108,-0.820643807,2.554990779,0.949472763,-0.39140191,-0.115941971,-0.809177648,-1.272201351
06/01/1987,-0.6495738,0.388970213,-1.34714641,0.171927124,2.880578781,1.161173665,-0.215421502,0.087463189,-1.061728659,0.577788428
09/01/1987,-0.637229222,0.470253312,-1.315409117,-0.514361783,3.109637887,0.917519463,-0.204160096,0.551925501,-0.95225688,0.045558947
12/01/1987,-0.484405707,-2.752126588,-2.1133987,1.406414299,2.80553979,1.259215093,-0.212015573,-1.427009573,0.821153667,2.911150024
03/01/1988,-0.565075192,0.822817161,-0.808874597,-0.824515188,3.286727795,0.357981155,0.553440418,0.749771843,-0.836855203,0.364295809
