,Equity return (capital gains),Real GDP growth,Output gap proxy,CPI inflation YoY,Core inflation YoY,Modified Taylor rule outcome,Short-term (3-month) interest rate,Long-term (10-year) interest rate,Unemployment,Trend unemployment (NAIRU proxy),"U.S. / U.K. Foreign Exchange Rate, U.S. Dollars to One British Pound"
03/01/1995,-0.000221812,0.00321766,0.012276034,0.026194278,0.03181041,0.069992,0.061363,0.086614667,0.087,0.076623484,1.619
06/01/1995,0.074253858,0.00360746,0.014902917,0.025875321,0.03661338,0.079823,0.064369667,0.082425667,0.085,0.075280627,1.5905
09/01/1995,0.061950026,0.00982346,0.011511773,0.028875411,0.03803411,0.078563,0.065716667,0.081089333,0.084,0.073950077,1.5795
12/01/1995,0.030015367,0.0028173,0.015069698,0.030302935,0.02979237,0.069758,0.063287667,0.077881667,0.082,0.072635798,1.5535
03/01/1996,0.036329123,0.00901712,0.01263115,0.027026883,0.02568544,0.061159,0.058945667,0.077532,0.081,0.071341622,1.5262
06/01/1996,0.011879391,0.00318382,0.015995863,0.02373868,0.01752707,0.052286,0.057200667,0.080671,0.08,0.070071238,1.5529
09/01/1996,0.016953057,0.00682971,0.015874948,0.023633634,0.01807791,0.052992,0.055269,0.078510667,0.078,0.068828186,1.5653
12/01/1996,0.04821857,0.00952145,0.013214656,0.022058901,0.02447907,0.059933,0.060522333,0.075693667,0.074,0.06761584,1.7123
03/01/1997,0.066590398,0.01927657,0.001080108,0.016081996,0.02038043,0.041651,0.059091667,0.074019333,0.071,0.066437409,1.6448
06/01/1997,0.058771211,0.00883882,-0.000754257,0.017391309,0.01749663,0.035491,0.062552,0.073159667,0.07,0.065295923,1.665
09/01/1997,0.089383958,0.00490613,0.001409482,0.018759046,0.01740294,0.037514,0.068519333,0.069895333,0.065,0.064194229,1.6117
12/01/1997,0.018930019,0.01037167,-0.001759484,0.01726619,0.01864181,0.036203,0.070462333,0.065029333,0.062,0.063134987,1.6427
03/01/1998,0.11148442,0.00759702,-0.002090366,0.01726619,0.0159787,0.031878,0.069305333,0.060453,0.062,0.062120662,1.6765
06/01/1998,0.059552988,0.00906747,-0.003799767,0.015669637,0.01587302,0.03001,0.071169,0.058213333,0.061,0.061153521,1.6695
09/01/1998,-0.058736904,0.00745468,-0.003825582,0.012747947,0.01447368,0.027885,0.070504333,0.055178333,0.061,0.060235631,1.6995
12/01/1998,-0.022095748,0.00972958,-0.006044699,0.015558678,0.01176471,0.021602,0.061157667,0.048193667,0.061,0.059368853,1.6628
03/01/1999,0.11070144,0.00564996,-0.00412875,0.016973129,0.009174312,0.019633,0.050771667,0.044580333,0.06,0.058554843,1.614
06/01/1999,0.057975233,0.00062017,0.002854014,0.014025202,0.009114583,0.026526,0.048505,0.048901333,0.059,0.057795047,1.5765
09/01/1999,-0.023794944,0.01784713,-0.007210039,0.012587345,0.005188068,0.010572,0.050020333,0.054980667,0.057,0.057090705,1.6457
12/01/1999,0.028150616,0.01374781,-0.013238257,0.011141972,0.002583979,0.000638,0.053591333,0.055278667,0.058,0.056442843,1.615
03/01/2000,-0.00337684,0.00843934,-0.013935588,0.005563238,0.001298701,-0.001988,0.058165667,0.056093667,0.056,0.05585228,1.5922
06/01/2000,-0.012342901,0.00611341,-0.012275122,0.008298757,-0.001290323,-0.004211,0.059179,0.053114333,0.053,0.055319623,1.513
09/01/2000,0.021254449,0.00280671,-0.007289782,0.009668397,0.001290323,0.004646,0.058229,0.053191,0.053,0.054845272,1.4787
