"","Mean","Std. Dev.","Maximum","Minimum","ar1","ar2","ar3","ar10"
"Factor.1",0.423133274368421,0.672517463936139,1.309014826,-1.222032818,0.951056687290367,0.916998093825256,0.883015534347633,0.683828816864306
"Factor.2",0.00709032457142857,1.1134395839262,2.130021179,-4.715982951,0.243547038511057,0.120490823704063,0.110487528703023,0.0610342653328146
"Factor.3",-0.257377359263158,0.869044803110224,1.298082527,-2.1133987,0.872805443763242,0.847397731520759,0.841763562204144,0.681908414071359
"Factor.4",-0.0612856846090226,0.990027940950125,1.758651383,-3.889187202,0.515290382985983,0.329527426590558,0.181090926477399,-0.0218289292784044
"Factor.5",0.075256914924812,1.04984430186173,3.286727795,-2.371784619,0.796045756621132,0.750784411333941,0.658938179105289,0.245705888930519
"Factor.6",-0.0276488679323308,0.877622096315872,1.629754038,-1.851526155,0.890863996700059,0.836579466128394,0.811150791377817,0.49510613971076
"Factor.7",0.0206120292030075,0.865862875847956,2.374861056,-2.261418046,0.225939195878062,0.336327869564711,0.154599047748965,0.0884657483077604
"Factor.8",-0.0516115728120301,0.993521363206109,2.867883768,-2.591744545,0.425079511268183,0.337846138221929,0.297306360325569,0.0205544299479366
"Factor.9",0.0725292851203007,0.895303378121041,3.327902744,-2.047663243,0.29427778176356,0.482686970579131,0.190448703955223,0.0455616084482775
"Factor.10",-0.086950870556391,1.00102480659499,3.145308749,-2.423012829,0.138909406633236,0.381568973338689,0.0512199218559709,0.163179646447427
