<<<<<<< Updated upstream
"","Mean","Std. Dev.","Maximum","Minimum","ar1","ar2","ar3","ar10"
"3",0.0341248120300752,0.026576947763551,0.0923,0,0.967349109369812,0.931880032770405,0.883906924023614,0.525389722168274
"6",0.0357406015037594,0.0270311998119176,0.0954,3e-04,0.963859619798689,0.928441010588631,0.882537757901015,0.534055182969618
"12",0.0374052631578947,0.0274195885404154,0.0964,0.001,0.961287341337673,0.926186245399443,0.882426835711132,0.568773841551487
"24",0.0407593984962406,0.0277689330378337,0.1043,0.0023,0.955557242837129,0.918596078279946,0.876962954304277,0.631011474161076
"36",0.042990977443609,0.0272229472572442,0.1079,0.0031,0.951252693443538,0.912015055819764,0.872262260349522,0.663759056492628
"60",0.0468887218045113,0.0256769607086319,0.1129,0.0062,0.945103983912984,0.901409658231946,0.860734490165078,0.704932111274313
"84",0.0499413533834586,0.0246675812519417,0.1159,0.0104,0.941957276953639,0.894094017176423,0.850693479863352,0.718792051678815
"120",0.052081954887218,0.0233894039548165,0.1165,0.0149,0.939171498917629,0.888281086346279,0.842194023838547,0.725327364327258
=======
"","Mean","Std. Dev.","Maximum","Minimum","ar1","ar2","ar3","ar10"
"3",0.0341248120300752,0.026576947763551,0.0923,0,0.967349109369812,0.931880032770405,0.883906924023614,0.525389722168274
"6",0.0357406015037594,0.0270311998119176,0.0954,3e-04,0.963859619798689,0.928441010588631,0.882537757901015,0.534055182969618
"12",0.0374052631578947,0.0274195885404154,0.0964,0.001,0.961287341337673,0.926186245399443,0.882426835711132,0.568773841551487
"24",0.0407593984962406,0.0277689330378337,0.1043,0.0023,0.955557242837129,0.918596078279946,0.876962954304277,0.631011474161076
"36",0.042990977443609,0.0272229472572442,0.1079,0.0031,0.951252693443538,0.912015055819764,0.872262260349522,0.663759056492628
"60",0.0468887218045113,0.0256769607086319,0.1129,0.0062,0.945103983912984,0.901409658231946,0.860734490165078,0.704932111274313
"84",0.0499413533834586,0.0246675812519417,0.1159,0.0104,0.941957276953639,0.894094017176423,0.850693479863352,0.718792051678815
"120",0.052081954887218,0.0233894039548165,0.1165,0.0149,0.939171498917629,0.888281086346279,0.842194023838547,0.725327364327258
>>>>>>> Stashed changes
